livro,loja,preco_min,preco_max,condicao,edicao_nota,confianca,url
Devoradores de Estrelas (Suma),mercadolivre,78.99,78.99,nao informado,anuncio avulso,alta (preco no titulo indexado),https://produto.mercadolivre.com.br/MLB-1969732887-livro-devoradores-de-estrelas-_JM
Devoradores de Estrelas (Suma),mercadolivre,78.99,78.99,novo,catalogo Suma capa mole,alta (preco no titulo indexado),https://www.mercadolivre.com.br/livro-devoradores-de-estrelas-de-weir-andy-editora-suma-de-letras-capa-mole/p/MLB26466509
Devoradores de Estrelas (Suma),mercadolivre,76.65,78.99,novo,catalogo capa mole 2021 (2 snapshots),alta (preco no titulo indexado),https://www.mercadolivre.com.br/devoradores-de-estrelas-de-weir-andy-editorial-editora-schwarcz-sa-capa-mole-em-portugus-2021/p/MLB19405431
Devoradores de Estrelas (Suma),mercadolivre,99.90,99.90,nao informado,anuncio avulso,alta (preco no titulo indexado),https://www.mercadolivre.com.br/devoradores-de-estrelas/up/MLBU1101895583
Devoradores de Estrelas (Suma),mercadolivre,143.90,143.90,nao informado,anuncio avulso,alta (preco no titulo indexado),https://www.mercadolivre.com.br/livro-devoradores-de-estrelas/up/MLBU1723723004
Devoradores de Estrelas (Suma),amazon,59.00,59.00,novo,capa comum (de 99.90),media (resumo de snippet),https://www.amazon.com.br/Devoradores-estrelas-Andy-Weir/dp/855651121X
Devoradores de Estrelas (Suma),estantevirtual,65.00,65.00,usado,brochura Schwarcz/Suma 2021,media (resumo de snippet),https://www.estantevirtual.com.br/busca/livro-devoradores-de-estrelas
Devoradores de Estrelas (Suma),shopee,,,novo (titulo),anuncios ativos sem preco visivel de fora,evidencia de existencia,https://shopee.com.br/Livro-Devoradores-de-Estrelas-do-Andy-Weir-Novo-i.373278746.22198209451
Devoradores de Estrelas (Suma),olx,,,lacrado (titulo),anuncio ativo sem preco visivel de fora (Recife),evidencia de existencia,https://pe.olx.com.br/grande-recife/livros-e-revistas/livro-devoradores-de-estrelas-andy-weir-1417372642
Devoradores de Estrelas (Suma),enjoei,,,,NAO ENCONTRADO anuncio individual,,
Devoradores de Estrelas (Suma),travessa (fora das 6),88.91,88.91,novo,referencia externa,media (resumo de snippet),https://www.travessa.com.br/devoradores-de-estrelas-1-ed-2021/artigo/c13f8927-2c56-442e-8683-44de7c9a0e0f
Berserk Vol1 Ed Luxo (Panini),mercadolivre,30.65,36.65,novo,catalogo MLB19231787 (3 snapshots: 30.65 / 33.15 / 36.65),alta (preco no titulo indexado),https://www.mercadolivre.com.br/berserk-vol-1-edico-de-luxo-de-miura-kentaro-editorial-panini-brasil-ltda-capa-mole-em-portugus-2021/p/MLB19231787
Berserk Vol1 Ed Luxo (Panini),amazon,34.90,34.90,novo (PRE-VENDA reimpressao 14/08/2026),ISBN 8542617096,media (resumo de snippet),https://www.amazon.com.br/Berserk-Edi%C3%A7%C3%A3o-Luxo-Kentaro-Miura/dp/8542617096
Berserk Vol1 Ed Luxo (Panini),estantevirtual,30.00,,novo (11 ex) e usado (1 ex sem preco),a partir de,media (resumo de snippet),https://www.estantevirtual.com.br/busca/berserk-vol-1-edicao-de-luxo
Berserk Vol1 Ed Luxo (Panini),olx,25.00,25.00,nao informado,anuncio avulso Belem-PA,media (resumo de snippet),https://pa.olx.com.br/regiao-de-belem/livros-e-revistas/berserk-volume-1-edicao-de-luxo-1422096644
Berserk Vol1 Ed Luxo (Panini),shopee,,,novo/lacrado (titulo),anuncios ativos sem preco visivel; historico de venda 37.90 a 45.00,evidencia de existencia,https://shopee.com.br/Mang%C3%A1-Berserk-Vol.-01-Edi%C3%A7%C3%A3o-de-Luxo-Novo-Lacrado-i.234398416.20099228250
Berserk Vol1 Ed Luxo (Panini),enjoei,,,,NAO ENCONTRADO anuncio avulso do vol 1,,
Berserk Vol1 Ed Luxo (Panini),loyola (fora das 6),38.16,38.16,novo,referencia externa,media (resumo de snippet),https://www.livrarialoyola.com.br/produto/berserk-vol-1-edicao-de-luxo-246073
Berserk Vol1 Ed Luxo (Panini),manga no uchuu (fora das 6),45.00,45.00,novo,referencia externa,media (resumo de snippet),https://manganosekai.com.br/produto/berserk-edicao-de-luxo-vol-1/
Manual Dir Penal PG Sanches (JusPodivm),amazon,182.15,182.15,novo (vendido pela Amazon),14a ed 2025,alta (identico em 2 buscas independentes),https://www.amazon.com.br/Manual-Direito-Penal-Parte-Geral/dp/8544256589
Manual Dir Penal PG Sanches (JusPodivm),amazon,119.90,,nao informado (3 ofertas a partir de),12a ed 2023 capa dura,media (resumo de snippet),https://www.amazon.com.br/Manual-Direito-Penal-Parte-Edi%C3%A7%C3%A3o/dp/854423979X
Manual Dir Penal PG Sanches (JusPodivm),olx,130.00,140.00,lacrado,13a ed 2024 (Fortaleza),media (resumo de snippet),https://ce.olx.com.br/fortaleza-e-regiao/livros-e-revistas/manual-de-direito-penal-juspodvm-parte-geral-volume-unico-1460158442
Manual Dir Penal PG Sanches (JusPodivm),olx,160.00,160.00,nao informado,edicao nao informada (Recife; o mesmo anuncio vende a Parte Especial por 190),media (resumo de snippet),https://pe.olx.com.br/grande-recife/livros-e-revistas/livro-manual-de-direito-penal-1460306554
Manual Dir Penal PG Sanches (JusPodivm),olx,15.00,15.00,seminovo capa dura,OUTLIER validar; edicao desconhecida (Fortaleza),media (resumo de snippet),https://ce.olx.com.br/fortaleza-e-regiao/livros-e-revistas/manual-direito-penal-parte-geral-1100541803
Manual Dir Penal PG Sanches (JusPodivm),estantevirtual,6.00,,usado (29 ex) e novo (2 ex),a partir de; edicoes misturadas incl antigas,media (resumo de snippet),https://www.estantevirtual.com.br/busca/cunha-rogerio-sanches-manual-de-direito-penal-parte-geral
Manual Dir Penal PG Sanches (JusPodivm),mercadolivre,,,novo (loja),13a ed 2024 anuncio ativo sem preco visivel de fora,evidencia de existencia,https://produto.mercadolivre.com.br/MLB-4471803334-manual-de-direito-penal-parte-geral-volume-unico-13-edico-2024-juspodivm-conforme-lei-1481124-rogerio-sanches-cunha-_JM
Manual Dir Penal PG Sanches (JusPodivm),shopee,,,nao informado,anuncios ativos sem preco visivel de fora,evidencia de existencia,https://shopee.com.br/Livro-Manual-de-Direito-Penal-Parte-Geral-volume-%C3%BAnico-Rog%C3%A9rio-Sanches-Cunha-i.441066285.22316874933
Manual Dir Penal PG Sanches (JusPodivm),enjoei,,,usado,"anuncio ""14 Ed"" ativo sem preco visivel de fora",evidencia de existencia,https://www.enjoei.com.br/p/desapego-livro-manual-de-direito-penal-14-ed-66517947
1984 (Cia das Letras brochura),mercadolivre,24.94,66.75,nao informado,catalogo MLB19380004 (snapshot A 24.94 titulo indexado; snapshot B 89 com 25 pct off = 66.75; espelho leitura 22.10),alta no 24.94 / media no 66.75,https://www.mercadolivre.com.br/1984-de-george-orwell-editora-companhia-das-letras-capa-mole-em-portugus-2019/p/MLB19380004
1984 (Cia das Letras brochura),amazon,10.00,,mix novo/usado (131 ofertas de terceiros a partir de),ASIN 8535914846 trad Hubner/Jahn,media (resumo de snippet),https://www.amazon.com.br/1984-George-Orwell/dp/8535914846
1984 (Cia das Letras brochura),estantevirtual,25.00,25.00,usado bom estado,ed 2009 brochura 414p Sebo Estacao Cultural SJC,media (resumo de snippet),https://www.estantevirtual.com.br/livros/george-orwell/livro-1984/2996148916
1984 (edicao nao informada),olx,25.00,25.00,usado,editora nao informada (Campinas),media (resumo de snippet),https://sp.olx.com.br/grande-campinas/livros-e-revistas/vendo-livro-usado-1984-george-orwell-1469477894
1984 (edicao nao informada),olx,10.00,10.00,usado perfeito estado,editora nao informada (BH),media (resumo de snippet),https://mg.olx.com.br/belo-horizonte-e-regiao/livros-e-revistas/livro-george-orwell-1984-1450774308
1984 (edicao nao informada),olx,45.00,45.00,usado com marcas,editora nao informada (Cuiaba),media (resumo de snippet),https://mt.olx.com.br/regiao-de-cuiaba/livros-e-revistas/1984-george-orwell-1477817264
1984 (Cia das Letras brochura),shopee,,,novo/lacrado (titulo),anuncios ativos sem preco visivel de fora,evidencia de existencia,https://shopee.com.br/1984-George-Orwell-Editora-Companhia-das-Letras-Novo-e-Lacrado-i.285652717.7777868987
1984 (Cia das Letras brochura),enjoei,,,usado (titulo),anuncios ativos sem preco visivel de fora,evidencia de existencia,https://www.enjoei.com.br/p/livro-1984-george-orwell-110143864
1984 (Cia das Letras CAPA DURA),estantevirtual,69.00,99.30,novo/usado,faixa da edicao especial capa dura (sem URL de exemplar),baixa (faixa de resumo),
Duna capa dura (Aleph),mercadolivre,62.50,62.50,nao informado,catalogo 2017 680p,media (resumo de snippet),https://www.mercadolivre.com.br/duna-livro-1-de-herbert-frank-serie-serie-duna-1-vol-1-editora-aleph-ltda-capa-dura-em-portugus-2017/p/MLB19296275
Duna capa dura (Aleph),mercadolivre (loja Leitura),78.99,78.99,novo,catalogo MLB20679953,alta (preco no titulo indexado),https://www.meli.leitura.com.br/livro-duna-frank-herbert-capa-dura-volume-1/p/MLB20679953
Duna capa dura (Aleph),amazon,76.65,76.65,novo,edicao limitada com sobrecapa,media (resumo de snippet),https://www.amazon.com.br/Duna-Frank-Herbert/dp/8576574942
Duna capa dura (Aleph),amazon,200.00,,nao informado (40 ofertas a partir de; conflito com outro snippet 47.90),ed 2010 fora de catalogo,baixa (snippets conflitantes),https://www.amazon.com.br/Duna-Frank-Herbert/dp/8576571013
Duna capa dura (Aleph),estantevirtual,44.90,59.00,usado desde 44.90 / novo desde 59.00,ed Aleph 2017 ISBN 9788576573135,media (resumo de snippet),https://www.estantevirtual.com.br/livro/duna-04H-6827-000-BK
Duna capa dura (Aleph),estantevirtual,45.00,62.00,usado desde 45.00 / novo desde 62.00,ed limitada sobrecapa 2021 ISBN 9788576574941,media (resumo de snippet),https://www.estantevirtual.com.br/livro/duna-com-sobrecapa-edicao-limitada-017-8058-000-BK
Duna capa dura (Aleph nao confirmada),olx,75.00,75.00,novo,capa dura (SP; editora nao confirmada no titulo),media (resumo de snippet),https://sp.olx.com.br/sao-paulo-e-regiao/livros-e-revistas/livro-duna-capa-dura-1482158613
Duna capa dura (Aleph nao confirmada),olx,50.00,50.00,usado,capa dura (Fortaleza; editora nao confirmada),media (resumo de snippet),https://ce.olx.com.br/fortaleza-e-regiao/livros-e-revistas/duna-livro-1455828482
Duna capa dura (Aleph),shopee,,,nao informado,anuncios ativos sem preco visivel de fora,evidencia de existencia,https://shopee.com.br/Duna-Frank-Herbert-livro-Capa-Dura-673-P%C3%A1ginas-Aleph-i.1456185570.23798585292
Duna capa dura (Aleph),enjoei,,,nao informado,anuncio ativo sem preco visivel de fora,evidencia de existencia,https://www.enjoei.com.br/p/duna-livro-1-frank-herbert-edicao-especial-capa-dura-110047862
