busca_alvo,loja,motivo_exclusao,titulo_ou_nota,url
Devoradores de Estrelas,amazon,e-book,eBook Kindle 39.90,https://www.amazon.com.br/Devoradores-estrelas-Andy-Weir-ebook/dp/B094RCZF5V
Devoradores de Estrelas,amazon,audiobook,Audiolivro Audible 35.00,https://www.amazon.com.br/Audible-Devoradores-de-estrelas/dp/B0CJWTWPBF
Devoradores de Estrelas,amazon,kit/brinde,Pre-venda com brinde,https://www.amazon.com.br/Devoradores-estrelas-Pr%C3%A9-venda-com-brinde/dp/855651118X
Devoradores de Estrelas,olx,nao e livro,Boneco Rocky (figure do filme) 60.00,https://sp.olx.com.br/sao-paulo-e-regiao/hobbies-e-colecoes/boneco-rocky-devoradores-de-estrelas-filme-project-hail-mary-alienigena-1502490822
Devoradores de Estrelas,shopee,nao e livro,DVD do filme (2026) dublado e legendado,https://shopee.com.br/DVD-Devoradores-De-Estrelas-(2026)-(Dublado-e-Legendado)-i.1095676585.22694970237
Devoradores de Estrelas,shopee,nao e livro,Blu-Ray do filme,https://shopee.com.br/Devoradores-de-Estrelas-(Project-Hail-Mary)-(2026)-Dublado-e-Legendado-Blu-Ray-i.438728665.58210524594
Devoradores de Estrelas,shopee,nao e livro,Figure Rocky impressao 3d,https://shopee.com.br/Figure-Rocky-Devoradores-de-Estrelas-Vers%C3%A3o-do-Filme-Impress%C3%A3o-3d-i.306347693.23098205612
Devoradores de Estrelas,shopee,nao e livro,Poster/Cartaz,https://shopee.com.br/Poster-Cartaz-Devoradores-de-Estrelas-E-i.939416144.58257076777
Berserk Vol1 Ed Luxo,mercadolivre,kit/lote,Kit volumes 1 ao 3 Panini frete gratis,https://produto.mercadolivre.com.br/MLB-2134686257-berserk-edico-de-luxo-manga-volume-1-ao-3-kit-panini-_JM
Berserk Vol1 Ed Luxo,shopee,kit/lote,Edicoes 1 2 3 4 5 6 7 9 12 15 16 17 19 20,https://shopee.com.br/Berserk-Edi%C3%A7%C3%A3o-de-Luxo-Edi%C3%A7%C3%B5es-1-2-3-4-5-6-7-9-12-15-16-17-19-20-Manga-Panini-i.340655713.12904296441
